	1207,37,152
1670443	35,56,766,891,169,1530
1670444	307,390,1582,258,128,169,176
1670445	90,169
1670446	491,592,844,103,246,478,169,477
1670447	2164,169
1670448	390,169,450,231
1670449	451,467,956,67,1170,539,46,2084,667,208,60,258,169
1670450	369,518,169
1670451	292,43,169
1670452	502,369,169
1670453	474,269,275,169
1670454	272,169
1670455	390,369,169
1670456	2130,169
1670457	304,169,1090
1670458	42,3,169,241
1670459	920,166,458,249,169
1670460	462,169
1670461	378,216,17,76,169
1670462	94,88,169
1670463	246,240,1215,131,41,19,169
1670464	371,169
1670465	412,169
1670466	724,169
1670467	307,169,128
1670468	3199,3137,2164,169
1670469	169,143,93,25
1670470	369,169
1670471	390,369,169
1670472	307,592,169,390
1670473	426,337,2101,169
1670474	889,169
1670475	390,152,169
1670476	223,169
1670477	307,387,169
1670478	279,169,579
1670479	139,1007,1019,870,1090,2207,212,206,527,271,304,187,507,16,124,190,169
1670480	288,598,307,17,379,2388,169
1670481	387,169
1670482	169,67,76,254,27
1670483	491,169
1670484	1545,169
1670485	27,56,742,169
1670486	175,97,169,1066
1670487	307,982,169,956
1670488	595,578,946,438,169
1670489	49,83,390,72,169
1670490	2912,169
1670491	421,592,169,720
1670492	338,304,169
1670493	537,308,299,454,60,252,169
1670494	208,702,169
1670495	692,169
1670496	294,2111,390,825,169
1670497	1929,169
1670498	341,377,169
1670499	169,1660,742,876
1670500	2128,169
1670501	139,1175,3092,1529,31,160,458,159,2225,18,516,964,169,1597
1670502	810,15,1964,539,169
1670503	491,390,1158,337,369,169
1670504	169,579
1670505	49,369,169
1670506	337,88,72,169
1670507	1753,1090,2278,1659,304,1380,169
1670508	265,169
1670509	378,14,122,17,169
1670510	219,787,1531,246,217,267,462,337,584,157,169,819
1670511	592,169
1670512	269,88,563,217,152,502,169
1670513	382,169
1670514	169,81,122
1670515	337,169
1670516	90,507,535,169,66
1670517	169,246
1670518	88,169
1670519	482,491,889,955,707,337,51,169
1670520	219,155,369,32,349,169
1670521	766,41,87,46,325,19,169,93
1670522	15,46,169,122
1670523	49,15,46,38,76,272,51,169
1670524	308,169,60
1670525	707,104,595,169
1670526	282,5,169,3
1670527	169,2393
1670528	1132,1392,266,471,133,344,88,584,169,421
1670529	85,60,825,421,192,337,710,169,535
1670530	801,592,491,2898,204,81,217,2010,46,143,169,421
1670531	169,85,717,318
1670532	761,39,43,42,169
1670533	223,801,169
1670534	84,162,304,169
1670535	307,169
1670536	230,169
1670537	707,953,72,51,169,477
1670538	2373,375,2703,640,17,2107,539,2220,76,599,926,169
1670539	3204,169
1670540	378,169,307
1670541	49,76,272,533,379,169
1670542	491,169
1670543	133,32,51,169
1670544	84,56,169
1670545	169,39
1670546	1319,169
1670547	70,187,42,88,169,93
1670548	825,192,337,169,535
1670549	801,204,307,825,518,27,369,169,421
1670550	169,982
1670551	1158,497,169
1670552	304,169
1670553	2604,531,205,558,316,200,356,167,169
1670554	3,518,38,169
1670555	3113,49,537,87,241,17,272,876,51,169
1670556	169,176
1670557	390,169
1670558	502,169
1670559	369,839,169
1670560	307,169
1670561	748,216,169
1670562	724,1451,169
1670563	1132,801,421,963,169,535
1670564	491,390,337,379,634,169
1670565	169,296,892
1670566	537,518,169,217
1670567	269,169
1670568	379,169,128
1670569	49,568,1319,17,46,667,539,88,387,169,93
1670570	1484,169,1060
1670571	598,169,24
1670572	451,769,169
1670573	169,526
1670574	378,56,742,1392,81,891,246,17,88,769,169
1670575	467,1522,622,955,3280,27,966,1158,450,963,19,169,93
1670576	307,169
1670577	49,752,133,39,143,169
1670578	152,169,478
1670579	378,825,769,169
1670580	378,367,169
1670581	844,169
1670582	1125,19,169
1670583	742,169
1670584	269,27,797,60,32,169
1670585	790,43,169
1670586	49,3063,288,491,844,518,464,1215,1319,152,387,169,421
1670587	1170,169
1670588	152,392,72,19,169
1670589	595,292,169,440,192,88,505
1670590	724,1316,169,25
1670591	307,169
1670592	4146,169
1670593	371,169
1670594	63,169,16
1670595	801,169
1670596	390,169
1670597	2752,169,128
1670598	169,511
1670599	889,304,731,169
1670600	88,169
1670601	615,976,169,25
1670602	1723,455,204,387,15,154,46,146,956,32,169,421
1670603	307,169
1670604	356,169,3222
1670605	283,169
1670606	742,169
1670607	537,352,27,169
1670608	742,169
1670609	390,169
1670610	337,169
1670611	1671,169,1680
1670612	152,724,169
1670613	15,152,478,502,169
1670614	68,169,87
1670615	308,60,379,169,421
1670616	269,451,1132,88,693,77,462,337,369,72,169
1670617	378,169
1670618	377,1040,63,53,2171,169
1670619	595,379,279,497,39,856,707,692,478,369,169
1670620	396,3230,68,1246,169
1670621	35,169,307
1670622	429,167,169,53
1670623	42,125,169
1670624	269,49,891,169,1373,27,38,143,272,60,177
1670625	139,169
1670626	390,169
1670627	1459,169
1670628	216,1645,1225,133,1394,27,680,32,169,819,176
1670629	204,223,15,692,502,169,176
1670630	152,87,1143,169
1670631	497,169
1670632	502,146,169
1670633	307,169
1670634	382,169
1670635	304,169
1670636	801,169,2774
1670637	742,1451,14,724,169
1670638	38,169
1670639	742,246,169
1670640	770,169,2797
1670641	252,169
1670642	169,251
1670643	269,49,85,548,478,35,126,84,450,169,537,44,14,390,337,365,1373,462,535
1670644	169,467
1670645	369,169
1670646	169,192
1670647	378,801,2164,160,14,87,963,169
1670648	2446,226,638,270,1188,2812,169
1670649	390,94,169
1670650	452,891,246,27,169
1670651	15,17,169,390
1670652	462,169
1670653	715,169
1670654	1825,169
1670655	304,169
1670656	87,169
1670657	369,169
1670658	676,169
1670659	595,497,856,15,707,17,46,38,478,387,169,93
1670660	2086,169
1670661	491,169
1670662	228,169
1670663	378,17,169
1670664	337,692,169
1670665	46,169,204
1670666	491,46,1580,369,169
1670667	38,169
1670668	1283,177,169
1670669	87,169
1670670	88,169,128
1670671	90,169
1670672	365,438,81,169
1670673	169,1096
1670674	439,159,304,302,169,89
1670675	216,169
1670676	1207,169
1670677	27,169
1670678	1929,169,251
1670679	889,308,169,752
1670680	568,169
1670681	1690,169,478
1670682	169,53,986
1670683	970,169
1670684	367,916,72,51,169
1670685	766,169
1670686	934,169
1670687	279,707,692,369,169
1670688	169,1096
1670689	369,379,169
1670690	174,169
1670691	884,794,283,199,34,118,169
1670692	1132,491,87,177,128,169
1670693	1677,169
1670694	592,223,87,81,46,965,169
1670695	154,491,169
1670696	337,169
1670697	49,3652,88,1392,390,2413,95,956,15,966,539,1501,272,511,41,379,51,169
1670698	90,19,169
1670699	169,241
1670700	391,1226,169,221,377
1670701	88,169
1670702	1446,801,169
1670703	169,246
1670704	390,169,128,176
1670705	369,169
1670706	369,38,169
1670707	169,1035
1670708	379,832,337,302,169,421
1670709	491,164,70,8,72,169,477
1670710	84,169
1670711	269,1132,455,568,1243,192,169
1670712	692,169
1670713	54,946,169,53
1670714	676,467,579,15,539,988,38,956,88,169
1670715	932,169
1670716	174,77,169
1670717	506,169
1670718	341,352,169
1670719	379,169
1670720	378,169
1670721	42,3299,169
1670722	169,3008
1670723	235,60,156,169
1670724	279,169,246
1670725	759,304,169
1670726	538,801,204,223,88,169
1670727	1360,169
1670728	169,956
1670729	257,97,15,325,169
1670730	169,594
1670731	537,133,128,72,51,169
1670732	379,169
1670733	413,801,160,294,1723,720,2111,390,920,3,158,2190,511,557,169,251
1670734	922,169
1670735	252,169
1670736	208,169
1670737	269,1423,1469,154,46,584,254,169,1537
1670738	337,212,258,169
1670739	56,770,90,128,169
1670740	252,169
1670741	85,217,146,143,192,382,169
1670742	379,169
1670743	390,797,169
1670744	748,292,68,222,38,1951,369,169
1670745	179,46,169,152
1670746	537,460,169,208,506,609
1670747	1222,101,258,169
1670748	1545,912,169,39
1670749	742,169
1670750	337,462,169
1670751	378,56,566,2164,742,1938,732,658,17,169
1670752	825,169
1670753	270,169
1670754	223,169
1670755	1086,169,228,27,176
1670756	14,1217,169,1032
1670757	245,839,169
1670758	307,60,369,169
1670759	390,169
1670760	29,139,44,174,103,110,60,169
1670761	491,279,241,154,169
1670762	337,462,169,128
1670763	216,946,81,246,673,169,1537
1670764	742,169
1670765	742,272,169
1670766	369,801,27,169
1670767	595,379,707,462,369,169
1670768	1758,369,491,169
1670769	127,169
1670770	228,270,169,478
1670771	491,154,146,53,337,369,169
1670772	169,128
1670773	46,421,38,169,535
1670774	169,2758
1670775	337,369,169
1670776	491,169
1670777	269,38,154,169
1670778	862,169,87,493
1670779	177,477,169
1670780	377,169,579
1670781	810,81,75,169
1670782	365,169
1670783	2348,365,217,337,369,169
1670784	88,539,169,956
1670785	307,169
1670786	2873,952,2761,169,819
1670787	49,38,260,169
1670788	304,742,169
1670789	581,169,477
1670790	568,825,38,379,169,421
1670791	491,390,539,337,369,169
1670792	1102,396,188,103,107,152,254,128,19,169,2239
1670793	537,169
1670794	537,451,67,72,32,169
1670795	103,169
1670796	452,1182,169
1670797	307,17,728,169
1670798	411,279,25,38,32,169,93
1670799	127,164,169,152,667,88,505,421
1670800	1469,169
1670801	1459,223,169
1670802	592,169
1670803	482,169
1670804	707,477,169,478
1670805	44,169
1670806	462,478,581,337,398,169,477
1670807	308,14,103,81,241,143,236,369,169,899
1670808	139,1090,1659,304,169
1670809	738,169
1670810	216,421,192,169,535
1670811	378,491,169
1670812	491,219,97,216,212,87,464,27,230,146,422,686,369,254,169
1670813	592,231,390,84,539,956,169
1670814	1030,169
1670815	390,169
1670816	592,169
1670817	378,498,934,246,169
1670818	169,192,467
1670819	60,169,49
1670820	634,169,41
1670821	17,272,169
1670822	491,169
1670823	49,455,624,806,39,43,790,258,46,169
1670824	169,122
1670825	390,272,169
1670826	29,449,614,407,180,235,8,110,169,1413
1670827	2778,88,24,91,719,920,279,70,596,1545,169,535
1670828	2010,169,390
1670829	270,169
1670830	56,462,169
1670831	568,15,17,46,131,221,387,51,169
1670832	169,922,44,89
1670833	378,801,455,204,87,15,344,76,387,169
1670834	49,307,934,956,60,88,169
1670835	269,2377,1132,90,238,133,240,217,27,450,260,673,398,169
1670836	262,390,154,169,176
1670837	390,169,4328
1670838	1841,169
1670839	15,705,1046,2171,169
1670840	390,169,982
1670841	304,169
1670842	308,436,511,51,169
1670843	337,169
1670844	172,491,307,246,710,169
1670845	1132,219,307,667,797,169,421
1670846	1484,825,169,956
1670847	68,169
1670848	390,272,526,169
1670849	15,511,60,51,169,4116
1670850	308,49,88,467,732,387,568,15,707,17,43,60,369,72,51,169
1670851	94,292,558,236,228,169
1670852	72,919,169
1670853	581,369,169,477
1670854	169,176
1670855	452,707,192,167,169
1670856	1560,14,33,591,72,51,169
1670857	38,76,1404,375,179,832,46,43,143,60,51,169,14,390,1086,1832,379,1757,1522,25,221
1670858	910,169
1670859	518,87,169
1670860	113,169
1670861	1577,72,398,169
1670862	72,169
1670863	491,169
1670864	308,292,279,497,241,478,379,169
1670865	35,269,49,77,38,143,478,673,337,72,169,60
1670866	808,42,832,169
1670867	169,535
1670868	95,15,17,797,38,1296,169,93,176
1670869	568,169
1670870	2164,169
1670871	3376,2678,169,421
1670872	76,169
1670873	518,38,169
1670874	107,169
1670875	49,538,188,666,95,365,667,965,72,32,169
1670876	177,169
1670877	84,169
1670878	1102,169
1670879	188,169
1670880	595,390,478,379,169
1670881	825,169
1670882	95,169,599
1670883	81,169
1670884	595,169,217
1670885	44,946,337,5,169,176
1670886	1832,4,169
1670887	231,390,467,622,1226,169
1670888	1132,801,421,88,169,535
1670889	568,169
1670890	761,1451,169
1670891	742,169
1670892	186,231,169,89
1670893	269,2437,97,219,3281,2766,216,133,155,2912,38,169
1670894	304,169
1670895	718,2841,390,218,1375,1088,17,337,379,387,169
1670896	337,87,359,169
1670897	801,169
1670898	390,946,956,963,369,169
1670899	369,169
1670900	431,169
1670901	2206,373,1373,3513,3261,584,169
1670902	1296,169
1670903	702,169
1670904	1351,169
1670905	49,379,518,169,707,369,505
1670906	801,17,51,169,176
1670907	88,387,169,251
1670908	537,1943,787,2260,133,169
1670909	2164,169,1090
1670910	307,125,46,169
1670911	169,752
1670912	337,169
1670913	646,461,3,2891,38,775,169
1670914	369,233,169,97
1670915	88,133,169
1670916	545,491,169
1670917	307,491,169,477
1670918	378,747,491,2898,2260,1645,411,87,918,67,27,254,257,793,32,19,169
1670919	169,421
1670920	169,421
1670921	169,128
1670922	1171,491,169
1670923	27,452,169
1670924	390,39,462,72,169
1670925	1132,169
1670926	35,14,174,87,373,15,436,337,5,169,421
1670927	801,491,294,169,3632
1670928	538,770,890,3538,133,373,240,881,84,152,260,1601,747,32,19,169,535
1670929	387,169
1670930	1373,88,169,1096
1670931	88,1132,169,956
1670932	132,94,169
1670933	307,169
1670934	429,169
1670935	371,265,169
1670936	491,136,889,707,152,478,581,42,169,477
1670937	35,482,749,1463,464,379,51,169
1670938	429,179,95,544,146,169
1670939	133,87,43,208,46,169
1670940	88,169
1670941	88,169,192,720
1670942	568,539,387,51,169
1670943	568,169
1670944	377,169,53
1670945	67,169,246
1670946	595,538,390,440,369,169,421
1670947	27,169
1670948	919,742,169
1670949	169,33
1670950	169,241
1670951	390,169,93,176
1670952	595,1040,169
1670953	742,169
1670954	402,856,916,343,169
1670955	934,169
1670956	262,266,169
1670957	592,307,2171,242,169
1670958	308,169
1670959	117,642,177,797,169,477
1670960	545,1392,1022,946,825,169
1670961	169,421
1670962	377,169
1670963	369,169
1670964	187,169
1670965	467,90,995,117,400,43,1277,88,169,611
1670966	56,1232,139,1295,1299,103,1833,154,196,183,623,26,410,374,110,1887,40,169
1670967	169,421
1670968	491,169
1670969	223,169
1670970	350,222,169,152
1670971	169,609
1670972	705,169
1670973	378,169
1670974	337,169
1670975	724,169,217,1451
1670976	369,169,281,850
1670977	491,169
1670978	413,1753,1090,1659,1039,304,124,169,609
1670979	943,169,421
1670980	283,169
1670981	27,169
1670982	169,176
1670983	169,122
1670984	44,825,158,144,143,169,251,89
1670985	279,147,25,634,169
1670986	219,2047,474,84,1832,257,19,169
1670987	275,1373,17,27,1158,88,169
1670988	464,143,60,169,176
1670989	1303,169
1670990	152,1929,169
1670991	365,461,1215,2912,169
1670992	85,441,279,192,169
1670993	390,169
1670994	88,169
1670995	169,467
1670996	283,169
1670997	801,169
1670998	465,912,405,169,140
1670999	943,801,307,982,2360,169,421
1671000	390,462,169
1671001	742,1451,724,919,169
1671002	390,51,169
1671003	369,169
1671004	307,95,169,1059
1671005	304,169
1671006	231,1319,912,169,251
1671007	568,169
1671008	592,307,2575,154,337,169
1671009	595,592,231,307,390,518,17,27,462,337,169
1671010	369,421,169,535
1671011	228,592,169
1671012	169,467
1671013	378,1102,17,27,272,169
1671014	15,337,169,60
1671015	169,251
1671016	378,204,87,440,41,169
1671017	1210,169
1671018	307,60,51,169,176
1671019	766,1132,491,568,87,337,502,169,93,421
1671020	477,169,607
1671021	49,216,934,3,84,272,379,169
1671022	634,169,609
1671023	643,592,390,208,228,169
1671024	390,1975,1022,518,2225,38,169
1671025	1392,666,169,76,4,222,627
1671026	87,107,43,1414,169
1671027	49,1657,889,15,169
1671028	51,169
1671029	803,1248,2753,337,32,169
1671030	179,169
1671031	537,87,107,436,169
1671032	169,240
1671033	676,49,491,390,126,43,581,60,379,51,169
1671034	1874,169
1671035	219,2503,1717,724,195,169
1671036	262,1451,133,1755,169
1671037	1030,769,169,217
1671038	32,169,246
1671039	4098,169
1671040	49,56,233,455,1598,518,133,728,806,169,1680,84,17,27,38,450,177,176
1671041	3,2388,272,169
1671042	766,491,296,3057,761,17,51,128,1034,405,169
1671043	152,169
1671044	169,122
1671045	378,152,169
1671046	369,169
1671047	568,169,752
1671048	378,919,169
1671049	238,3637,169,27,819
1671050	1835,1360,43,128,228,169
1671051	451,307,891,169,535
1671052	42,169
1671053	269,693,761,478,581,60,369,169,477
1671054	35,491,169
1671055	949,742,1451,169
1671056	390,169
1671057	1342,2044,169,241
1671058	169,390,956,421
1671059	1132,169
1671060	307,889,390,955,1440,1373,304,478,746,169
1671061	87,1144,169,581,27
1671062	279,95,965,169
1671063	27,216,169
1671064	304,169
1671065	49,97,840,743,3,15,84,72,169
1671066	304,169,246
1671067	506,169
1671068	269,162,219,1028,276,87,596,642,84,454,235,143,260,169
1671069	1929,76,2171,169,421
1671070	49,169
1671071	19,169
1671072	27,169
1671073	177,3449,1946,169
1671074	624,761,39,478,369,169
1671075	1929,518,38,272,938,379,32,169
1671076	169,122
1671077	595,269,441,94,87,464,169
1671078	537,269,692,462,169,1057
1671079	307,270,592,169
1671080	1132,655,14,87,15,539,667,38,58,673,387,169,93,421
1671081	76,1030,369,51,169,535
1671082	67,1598,3927,169
1671083	491,1929,825,246,891,192,535,169,421
1671084	801,169,462,2128,27
1671085	281,15,692,46,53,628,169
1671086	387,87,169
1671087	557,1144,478,581,169,477
1671088	154,369,169
1671089	390,825,956,169,93,535
1671090	390,169
1671091	3916,15,462,318,478,581,169,535
1671092	663,169
1671093	160,169,222,797,1060,377,421
1671094	390,464,169,68
1671095	491,169
1671096	307,58,169
1671097	304,169
1671098	169,39
1671099	132,169
1671100	56,169
1671101	5,169
1671102	378,103,192,42,88,169
1671103	223,169,891
1671104	518,169
1671105	49,747,32,169
1671106	35,766,14,1085,15,154,46,146,38,436,236,337,125,769,169,93,66
1671107	337,462,77,169
1671108	307,169,421
1671109	223,27,236,5,169,93
1671110	475,169
1671111	1125,742,78,1146,210,270,113,98,169
1671112	491,169
1671113	518,169
1671114	304,169
1671115	676,1102,35,1577,126,43,382,60,32,51,169,1859
1671116	32,169,462
1671117	379,377,707,511,369,169,176
1671118	742,352,1423,526,169,477
1671119	214,169,1066
1671120	518,169
1671121	825,169
1671122	269,365,373,107,38,169,421
1671123	174,169
1671124	378,169
1671125	715,169
1671126	223,169
1671127	179,365,620,131,236,169
1671128	167,169
1671129	1545,169
1671130	307,279,169,441
1671131	889,707,478,581,169,477
1671132	307,592,169
1671133	17,49,169,783
1671134	90,365,169,192
1671135	3255,169,192
1671136	390,491,169
1671137	221,169
1671138	158,169,231
1671139	336,169
1671140	49,17,177,152,146,462,169
1671141	451,25,3,43,337,169,477,60
1671142	390,337,592,169
1671143	378,27,169
1671144	110,103,169
1671145	390,169
1671146	592,169,128
1671147	307,279,169
1671148	1213,84,169,811
1671149	369,379,169,68
1671150	17,169
1671151	518,15,17,155,797,169
1671152	378,228,128,169
1671153	17,560,434,169
1671154	169,176
1671155	262,1317,787,598,155,76,783,375,539,900,3770,51,169,390,579,2357,15,67,86,257,379,513,568,238,640,351,53,41,167,19,2142
1671156	537,472,169
1671157	387,934,169
1671158	742,169
1671159	1854,169
1671160	676,49,85,39,35,889,43,60,72,51,169,152,369,308,752,518,217,1815,462
1671161	308,51,169,53
1671162	724,169
1671163	169,246
1671164	169,39
1671165	307,169
1671166	295,429,218,365,518,797,146,169
1671167	545,169
1671168	390,1929,169,1830
1671169	14,769,15,17,46,236,387,51,169,93
1671170	169,2198
1671171	51,455,169
1671172	27,450,169
1671173	307,17,539,475,387,169
1671174	718,440,169,421
1671175	288,1861,761,282,950,1159,169,477
1671176	1740,169
1671177	379,169
1671178	592,169,117,764
1671179	308,307,246,4256,27,128,228,60,379,169,2113
1671180	1545,169
1671181	1124,77,169
1671182	169,373
1671183	537,56,288,174,279,103,518,246,169
1671184	742,1451,497,81,579,857,169
1671185	307,337,169
1671186	337,379,169
1671187	304,169
1671188	379,169
1671189	1102,32,169,325
1671190	1545,169
1671191	101,216,1801,169
1671192	390,369,169,956
1671193	506,592,169,122
1671194	1641,169,195
1671195	369,169
1671196	32,491,43,169
1671197	378,481,169
1671198	337,169
1671199	60,391,103,169
1671200	833,49,548,143,169
1671201	127,269,467,642,2537,143,169
1671202	51,169
1671203	369,169
1671204	51,169,856
1671205	710,692,169,462
1671206	761,169
1671207	35,2377,801,455,1370,390,1088,81,169,84,548,152,257,88,32,19,499,1537
1671208	801,307,390,87,169
1671209	1158,169
1671210	1136,169,535
1671211	592,307,452,46,38,169
1671212	308,505,1451,14,377,624,724,177,1360,38,169
1671213	467,720,60,169,421
1671214	377,42,126,337,252,169
1671215	378,233,133,3051,155,548,86,32,157,169
1671216	169,176
1671217	307,169,176
1671218	1428,223,544,169
1671219	2878,88,169
1671220	301,1451,44,14,1085,177,265,53,374,88,169
1671221	103,233,169
1671222	324,2128,169
1671223	378,3620,169
1671224	378,17,216,169
1671225	513,592,169
1671226	507,169,124
1671227	84,27,452,169
1671228	387,169
1671229	307,169
1671230	455,169
1671231	801,87,169
1671232	1063,302,68,169
1671233	742,911,533,919,169
1671234	2,169
1671235	56,49,538,2841,728,146,38,272,76,95,241,46,143,436,169,44,87,17,379,595,518,154
1671236	3419,801,531,390,3655,169
1671237	518,169,450
1671238	810,152,285,43,42,125,169
1671239	235,169
1671240	467,518,342,15,1319,169
1671241	451,19,169
1671242	390,152,169
1671243	390,169
1671244	452,169
1671245	1132,373,1319,128,337,254,169,421
1671246	169,192
1671247	491,169
1671248	1797,258,60,88,169
1671249	491,856,478,169,477
1671250	1975,411,369,169
1671251	169,421
1671252	160,1929,32,169,421
1671253	269,175,910,260,60,157,169
1671254	56,307,15,38,32,169,2122
1671255	169,642,4165,356,252,506
1671256	51,169
1671257	692,169
1671258	595,766,90,372,199,532,2331,169
1671259	506,252,169,642
1671260	133,169,421
1671261	390,169
1671262	95,15,154,53,4345,169
1671263	761,169
1671264	169,192
1671265	592,169,128
1671266	169,246
1671267	378,724,2164,169
1671268	14,307,2111,497,431,169
1671269	223,216,169
1671270	390,169
1671271	429,169
1671272	17,169
1671273	707,369,692,169
1671274	49,1392,246,88,169
1671275	169,516
1671276	49,43,38,60,72,169
1671277	169,204,38,535
1671278	3502,169
1671279	545,169
1671280	934,169
1671281	2081,169
1671282	710,169
1671283	169,3
1671284	233,39,1319,30,169
1671285	390,169
1671286	179,279,192,88,169,535
1671287	85,169,217
1671288	369,1802,169,491
1671289	337,710,169,450
1671290	646,216,169
1671291	460,452,169,502,505
1671292	390,169,231
1671293	2458,952,128,192,169,251,421
1671294	378,169
1671295	49,663,241,1243,228,169
1671296	557,491,719,1144,51,152,478,581,369,405,169,477
1671297	188,87,169
1671298	219,375,707,746,169
1671299	88,844,577,369,169
1671300	378,127,216,429,1672,169
1671301	308,2019,60,88,169
1671302	2948,646,278,236,77,684,2295,2909,714,620,41,1072,169,1537
1671303	379,169,128,956
1671304	1491,416,144,72,106,169
1671305	307,154,169
1671306	628,169
1671307	592,14,307,390,38,169,93,982
1671308	307,169
1671309	379,169,176
1671310	49,421,337,169,535
1671311	502,43,169
1671312	1929,169,53
1671313	390,491,169,467
1671314	169,128,396
1671315	825,169
1671316	378,262,592,2164,76,963,1497,169
1671317	390,169
1671318	390,1885,169
1671319	491,307,53,387,169
1671320	518,491,169
1671321	27,963,169
1671322	3223,717,169
1671323	307,825,564,3,107,302,169
1671324	219,169
1671325	158,825,5,169
1671326	545,91,103,276,1040,39,77,42,234,2171,169
1671327	1574,169,982
1671328	891,15,707,478,581,169
1671329	1334,160,169
1671330	95,169,128
1671331	230,169,176
1671332	72,169,593
1671333	308,539,51,169
1671334	884,224,220,159,33,40,169
1671335	85,216,452,39,27,1117,169,717
1671336	801,1132,825,128,337,387,169,421
1671337	204,169,72,1072,177
1671338	1975,3958,254,169
1671339	378,169
1671340	676,169
1671341	499,97,179,352,133,154,41,169
1671342	278,169
1671343	72,51,169,580
1671344	1132,169,421
1671345	1028,169
1671346	378,219,194,223,326,133,452,17,152,325,169
1671347	150,97,169
1671348	797,169
1671349	2595,169,673
1671350	169,467
1671351	451,241,15,369,169
1671352	169,176
1671353	378,179,169,373
1671354	595,491,95,279,2013,692,478,169
1671355	378,169
1671356	58,169
1671357	77,169
1671358	910,17,1766,169
1671359	390,169
1671360	308,49,85,391,39,43,272,662,60,169
1671361	179,2128,337,369,169
1671362	919,27,169
1671363	390,379,169
1671364	179,146,38,599,325,169
1671365	749,379,390,707,746,337,369,169
1671366	491,169,592
1671367	378,223,216,169
1671368	72,169,1286,241
1671369	378,169
1671370	169,231
1671371	475,440,216,169
1671372	2111,390,497,1319,154,169,421
1671373	269,491,169,296
1671374	477,169,478
1671375	390,169
1671376	269,56,266,910,38,143,1736,19,169
1671377	365,169
1671378	17,169
1671379	2836,467,390,622,169
1671380	568,103,774,154,46,169
1671381	84,169,450
1671382	337,169
1671383	595,258,369,252,169
1671384	208,169
1671385	491,169
1671386	398,169
1671387	337,904,169
1671388	390,1929,169
1671389	17,588,169,881
1671390	169,1428
1671391	451,2778,231,390,467,204,955,15,17,539,46,38,511,1794,169
1671392	162,288,141,40,169
1671393	169,535
1671394	825,169
1671395	568,464,15,17,450,1096,88,169
1671396	308,749,276,986,234,169
1671397	369,169
1671398	72,1086,169
1671399	390,169
1671400	1420,169,122
1671401	518,169
1671402	88,97,84,143,369,169,93
1671403	88,1392,390,956,369,169
1671404	265,169
1671405	299,369,169
1671406	50,3716,169
1671407	269,169
1671408	2586,169,4126
1671409	390,379,169
1671410	269,268,85,464,680,157,169
1671411	169,128
1671412	1132,1863,169
1671413	169,92,137
1671414	379,169
1671415	1170,169
1671416	169,204
1671417	307,169
1671418	169,53
1671419	1408,169,838
1671420	2974,38,192,534,1793,169
1671421	304,169
1671422	269,49,160,2260,278,1531,1124,454,2244,1157,133,81,1658,143,450,131,169,14,1059,390,934,87,337,502,1149,1373
1671423	160,294,502,252,169
1671424	302,169
1671425	223,169
1671426	38,169
1671427	390,152,169
1671428	1837,2549,806,169
1671429	337,518,169
1671430	169,231,1143,176
1671431	724,1451,169
1671432	83,14,2010,1158,516,369,839,169
1671433	223,169
1671434	838,169,128
1671435	2,169
1671436	390,169
1671437	50,96,52,345,300,304,23,169
1671438	162,1217,505,44,838,1059,223,143,436,236,169
1671439	109,585,1151,15,617,876,1013,169
1671440	922,304,169,1090
1671441	94,966,76,169
1671442	491,692,38,359,51,169
1671443	369,1451,14,169
1671444	377,803,169,421
1671445	307,732,133,926,41,398,169,176
1671446	441,279,95,17,72,169
1671447	1030,206,51,169
1671448	49,216,568,192,450,88,169
1671449	60,169
1671450	169,421
1671451	269,720,518,77,217,1373,152,38,192,581,337,88,438,169,60
1671452	51,169,986
1671453	17,169
1671454	269,85,934,17,42,387,169
1671455	169,131,467
1671456	676,169,390
1671457	369,169
1671458	85,179,217,38,169
1671459	265,304,169
1671460	205,1615,15,38,478,913,1171,169
1671461	308,49,2375,1771,60,169,176
1671462	761,169
1671463	378,169
1671464	1132,307,94,421,169,982
1671465	491,169,511
1671466	566,1615,369,19,169
1671467	46,169,122
1671468	2164,1938,175,68,2041,304,257,169
1671469	1022,919,592,169
1671470	369,258,477,169
1671471	169,768
1671472	88,169,421
1671473	482,44,0,1198,212,389,1688,533,956,169
1671474	88,539,169,450
1671475	592,375,337,169,421
1671476	3939,176
1671477	3939,223,441
1671478	1454,3939,176
1671479	1680,3939,19,351
1671480	3939,2180
1671481	3939,579
1671482	2044,1940,3939,106,2239
1671483	943,216,91,1671,95,133,1680,30,692,3939,176
1671484	2041,272,2180,3939,588
1671485	3939,2730
1671486	3939,208,2239
1671487	35,3939,221
1671488	35,3939,272,2405
1671489	3939,231
1671490	2044,563,1680,1055,3939
1671491	1102,2044,554,1459,2984,2041,3280,3939,2239
1671492	67,3939,1059
1671493	3939,838
1671494	1680,3939,748
1671495	811,2053,2,3939,904
1671496	1102,3939,2044
1671497	3939,770,177,176
1671498	1680,3939,748
1671499	15,3939
1671500	3939,223
1671501	1680,3939
1671502	49,3939
1671503	1680,3939
1671504	537,3939,666
1671505	3939,27,467
1671506	3589,1711,2180,3939,588
1671507	537,770,329,797,3939
1671508	3939,1570,2857,176
1671509	3939,2768
1671510	3939,223,538
1671511	3939,844,2405
1671512	3939,125,844
1671513	3939,68
1671514	56,770,2586,90,3988,1680,17,893,547,450,510,3939
