	47,413,792,495
717309	266,3630,1105,1909,233,455,97,122,175,440,216,720,1358,87,1474,2658,217,617,1229,587,242,1271,2096
717310	127,56,223,497,76,93,451,46,131,216,14,1059,218,87,15,208,1474,1718,102,359,221,167
717311	1812,1648,205,240,474,1075,32,3124,157,819,1221,2394,2199,179,743,310,241,1485,344,1955,1723,1601,2769,1420,890,1358,564,67,2107,2968,1054,2507,985,499,997,1474,2117,45,913,1295,1375,238,2162,2100,25,1718,2220,617,604,1150,2124
717312	1298,45,56,1757,977,1375,218,1535,65,782,15,359,740,1829,475,510,1474
717313	283,1474
717314	12,2092,1453,2737,354,1474
717315	127,262,538,572,731,1812,223,240,688,917,1256,267,686,2845,905,1951,2281,254,3589,2119,2106,352,743,397,65,84,46,876,1217,188,872,679,1759,1504,17,485,1474,4088,2363,1700,592,2047,2201,1469,2537,167,600,242
717316	572,3504,65,2041,264,87,241,1243,2558,167,1474
717317	28,1092,65,552,2772,1474
717318	1428,3827,1474
717319	1474,1290,359,3131,1489,3755,2723
717320	2555,65,144,1594,1474
717321	488,3702,1474
717322	456,2326,1474
717323	198,1474
717324	803,2458,1619,610,335,859,1320,1141,1105,327,1474
717325	1295,1474
717326	1474,3120
717327	406,1474
717328	2968,1474
717329	1630,28,1474
717330	39,478,511,32,2119,1061,1049,2898,241,4079,450,60,51,14,579,707,17,152,379,1474,595,1057,844,752,264,856,593,246,41,600
717331	588,1474
717332	1185,1474
717333	122,2041,2375,241,910,143,1513,221,848,588,254,1474
717334	610,1474
717335	803,2199,1474
717336	3315,171,152,76,698,532,2813,2173,1474
717337	793,1221,1075,1474
717338	56,818,1207,146,38,766,97,1979,179,1157,133,65,81,84,46,143,863,60,537,1009,87,1974,260,2491,793,1755,1474,592,3281,207,365,806,217,373,667,221,2142,421
717339	670,3097,3423,1325,1474
717340	176,484,216,1671,3071,1711,588,2637,1474
717341	127,932,455,1577,995,359,131,27,1474
717342	3555,2685,1358,87,17,67,152,869,76,98,1105,58,2753,379,19,1474
717343	881,770,1474
717344	90,1474
717345	17,1317,1474
717346	197,529,443,1090,270,2001,2438,200,12,2980,577,332,166,1383,73,250,2659,715,1270,388,67,492,549,1474,363,202,10,26,617,3366,58,3387,41,1870
717347	73,588,266,1474
717348	108,2733,1658,1809,1605,1474
717349	85,136,84,440,359,3005,32,1474
717350	2124,955,276,1134,264,241,1718,1243,1847,513,1474
717351	336,1474
717352	133,1474
717353	932,426,411,568,67,17,1794,1474
717354	127,1811,266,905,475,88,254,819,215,451,122,1635,310,46,344,143,450,131,740,3063,1335,977,579,17,988,1829,1364,1474,45,921,1815,1274,373,359,510,1409,899
717355	959,352,2007,1105,416,1474
717356	1123,2437,451,352,1423,1543,15,2107,359,740,1105,2368,510,3124,5,588,513,1474
717357	233,315,179,365,87,133,84,107,46,32,1474
717358	1102,61,84,347,2813,1474
717359	1579,1616,892,1474
717360	1176,1025,691,18,183,611,1474
717361	12,921,122,1474,3309,2657,1358,133,952,359,450,131,37,254,1506
717362	127,205,2813,2437,122,352,339,65,46,131,1233,275,216,218,87,15,1964,17,260,513,1474,921,471,221,167
717363	538,572,818,266,2043,688,267,511,254,122,429,95,310,241,740,450,1005,218,1759,2336,17,944,67,988,699,747,1474,844,1630,640,79,1158,726,102,359,510,929,781,2346
717364	314,1474
717365	1128,2827,314,28,1180,2715,853,1868,2845,3418,2814,3318,2731,808,3023,1525,1620,2133,1590,409,1698,1672,1204,86,392,1660,1474,773,1651,2100,1208,1200,1536,1764
717366	1128,262,162,1326,1531,624,688,267,32,634,627,176,215,378,1378,491,1568,1061,219,1151,94,854,2086,68,3001,1157,1817,344,73,1900,295,409,1420,212,464,87,27,2107,152,67,86,222,1474,640,1572,246,462,911,102,53,41,19,963
717367	3353,2225,2998,1863,3755,1009,1498,882,786,970,1204,1135,1908,1474,3309,1602,149,2590,1764
717368	498,1811,179,365,266,1358,1088,918,84,604,699,359,131,2908,1474
717369	820,1145,2148,2001,1609,287,2453,940,2598,558,2461,1141,536,578,1747,1301,2273,1385,657,2031,1474,112
717370	122,188,1849,103,2107,747,32,1474
717371	748,1849,1474,588,1506
717372	238,1358,67,699,359,41,1474
717373	87,359,5,157,1474
717374	2437,1221,122,1059,116,743,890,65,464,205,483,966,359,2638,740,2391,1474
717375	604,97,359,1474
717376	275,242,2544,2522,2790,866,1791,670,846,474,1428,1942,905,1668,157,1474
717377	569,525,1672,67,459,1030,112,1474
717378	97,216,1674,375,1421,1358,355,918,84,46,76,258,2455,1474
717379	2874,1474
717380	2534,28,2493,2007,1854,198,3184,1474
717381	572,1059,1812,238,1718,1504,699,740,588,819,1474
717382	1711,1474
717383	638,861,939,1323,1077,282,1474
717384	406,1125,588,1474
717385	2437,1221,941,2948,1635,619,1226,218,2871,1582,604,131,3164,1474
717386	3340,65,3839,510,1265,1474
717387	610,1474
717388	2412,1867,832,617,1015,1474
717389	3720,2166,572,2561,1777,1474
717390	1339,205,90,881,678,19,1474
717391	1921,1474
717392	1504,19,1066,1474
717393	884,3491,1885,1474
717394	27,511,1474
717395	1561,1981,610,3120,1403,95,1475,1000,1068,382,1897,1474
717396	3015,766,56,44,394,425,853,84,1158,797,620,3658,32,1474
717397	2060,572,1120,3674,1503,905,2073,475,411,339,2351,3086,3454,871,1908,2895,1474,45,2010
717398	4040,2937,1474,4301,3138,3746,1382
717399	127,467,396,4095,38,76,2759,245,375,81,692,46,3249,131,977,17,379,2117,1553,1474,102,236,3656,5,725,2990
717400	1531,699,242,1474
717401	0,52,1645,464,2344,988,272,1199,73,169,250,1474
717402	519,1474
717403	497,2575,1042,1055,2127,533,2177,866,764,457,1006,1590,218,781,771,438,1474,1253,45,1757,2162,1860,841,2203
717404	1128,3630,39,1615,155,686,475,32,157,251,97,455,219,179,411,133,65,84,347,1794,398,1876,250,73,275,464,3202,620,260,337,747,379,438,2149,1201,1474,718,904,207,426,373,658,462,19,911,1513,41,1171,1528,242,27
717405	97,1474,171,2529,471,3296,2562,3468,128,1054,32,865,819,1506
717406	3478,3380,2636,2332,2278,2512,471,1919,79,22,86,501,1908,1474
717407	429,223,1035,1474
717408	56,269,266,1124,548,32,1123,254,233,455,97,179,133,84,450,584,865,295,890,464,67,620,718,1474,207,90,365,373,1160,41
717409	2631,1474
717410	3675,11,974,3164,1474
717411	455,207,279,373,84,17,1256,1829,1474
717412	45,1677,544,1474
717413	315,169,1474
717414	45,1233,160,1375,2568,15,17,740,60,1474
717415	53,1474
717416	1604,1474
717417	1258,1843,610,3023,2211,74,1475,382,848,2637,1474
717418	2377,498,426,1358,962,2149,1474
717419	1602,1474
717420	1474,3979,896
717421	2751,1474,1817,2234
717422	861,2412,1930,1813,325,2318,1474
717423	1317,835,787,146,963,35,219,179,3725,133,72,1674,699,502,1474,498,2025,365,1418,425,154,2975,16,41,27,781
717424	2437,2534,815,218,471,1447,879,588,190,513,1474
717425	1630,737,1474
717426	127,45,2514,56,818,890,65,1358,230,359,1474
717427	713,1357,404,979,1075,331,176,940,2024,447,11,1064,144,358,293,347,275,388,306,2058,988,1260,2844,1474,2145,172,873,1267,604,1767,1150,190
717428	2730,566,275,219,194,938,580,1433,155,143,76,257,740,86,302,1474
717429	360,453,906,3961,1038,2041,334,84,4140,2306,1391,2892,1034,1016,997,781,1474
717430	621,378,808,3588,558,1344,862,76,2438,382,1853,222,627,1474
717431	1789,1460,1429,2119,401,380,1930,332,123,1718,699,988,198,190,1474
717432	1116,1474
717433	65,298,3259,1474
717434	1128,3315,467,1813,2486,76,375,558,740,347,2364,1668,2615,1233,204,2599,1225,871,1964,944,1504,260,501,1054,1489,951,1474,498,2098,2162,846,41,1259,19
717435	1128,56,1598,467,240,2771,3716,88,32,176,97,1817,133,84,450,387,51,477,464,87,988,257,337,747,1474,207,452,952,373,726,27,1537
717436	1811,818,266,122,65,588,51,216,1674,14,1358,966,1377,988,1468,1474,1253,1375,154,617
717437	223,3008,881,1256,2225,819,93,1955,748,275,87,4228,128,1506,1474,2529,2041,2108,604,27
717438	921,1474
717439	1233,3295,2421,218,2162,2949,580,782,707,3810,1356,1711,3390,422,507,1474
717440	1397,176,136,1120,14,568,825,464,25,440,359,192,53,88,588,769,1474
717441	2555,2007,1474
717442	3028,3302,1474
717443	2291,568,2027,2117,15,1377,272,905,475,369,1474
717444	3464,588,1474
717445	144,198,1474
717446	1221,2405,456,1737,1635,826,2041,1468,2487,1474
717447	614,219,396,1474,365,68,123,3298,1240,2370
717448	95,377,1474
717449	484,101,106,610,335,145,69,1996,2179,1474
717450	567,1474
717451	3092,279,70,129,33,1281,287,484,1306,31,188,842,208,8,37,1152,1474,172,394,1328,316
717452	803,123,1474
717453	1474,866,764
717454	127,269,85,279,240,1243,230,146,38,254,215,35,663,179,95,133,81,406,84,436,131,865,1859,1999,781,544,893,2716,848,37,1072,505,1474,2047,136,1375,90,1065,365,1591,217,229,1319,617,2096,359,192,236,177,899
717455	56,921,233,379,207,411,1065,1423,952,373,1672,84,359,2063,475,369,27,1474
717456	215,1221,14,171,87,1394,966,359,492,254,86,19,1474
717457	465,3063,383,491,1963,3481,1328,3084,2330,550,1348,2345,118,3289,1474
717458	176,1725,219,2,1510,3839,584,3389,1474
717459	127,288,748,3175,462,2156,785,1474
717460	380,3864,149,1474
717461	699,69,1474
717462	1474,604,2644
717463	588,359,1059,1474
717464	3463,310,422,1474
717465	205,818,1075,254,819,1265,2887,1221,97,65,740,588,1723,1674,699,793,951,1474,1757,1319,617,604,510
717466	712,1418,1474
717467	670,1474
717468	3552,106,1474
717469	1190,242,1474
717470	538,1474
717471	1474,430,1601
717472	1825,2981,580,2189,422,128,1474
717473	1474,740,4444
717474	3877,2377,1370,1474,2041,240,564,4331,1501,501,938,493
717475	1715,778,226,401,610,145,2410,198,116,106,1474
717476	803,610,1671,1949,1123,588,1474
717477	1319,1474
717478	4,65,2010,938,2930,282,252,1474
717479	1208,372,532,1474
717480	1125,1474
717481	526,604,1991,1601,167,1723,1474
717482	1378,2494,3672,4007,1474
717483	726,131,1474
717484	106,534,2258,866,1301,699,1942,988,536,1996,1474
717485	275,164,456,728,440,1474
717486	1474,2189
717487	853,162,1474
717488	238,339,471,123,699,325,513,1474
717489	158,1474
717490	2124,1474
717491	2106,242,204,1059,352,846,387,19,1474
717492	1358,1474
717493	1000,1474
717494	2937,2191,1069,1474
717495	709,519,28,407,729,526,51,27,1474
717496	193,183,1474
717497	1173,484,245,335,1517,145,1359,372,2667,208,1313,987,1235,5,1474
717498	4134,1474
717499	1125,1474
717500	269,97,471,1066,986,152,499,1474
717501	2887,1474
717502	746,279,1474
717503	127,162,41,1811,3340,1812,818,205,3238,404,76,1075,725,2437,1221,932,3046,97,3910,1525,411,68,133,65,84,46,740,1743,1587,734,977,1543,1358,2568,27,67,699,86,1497,2391,513,499,37,1474,1364,45,1280,3214,805,1375,471,373,2459,617,604,102,236,19,1153
717504	127,45,2887,1059,1812,1570,2368,2631,584,1123,1474
717505	127,314,1813,1055,819,2177,429,1737,743,866,3748,2487,702,218,781,872,670,1504,699,848,1412,1468,1474,1506,1253,45,1757,1375,1718,510,776,841
717506	97,132,576,17,1275,208,143,698,673,584,1087,27,1474
717507	56,498,207,352,411,890,373,726,19,1474
717508	2981,422,1991,143,1474
717509	228,1474
717510	1128,1495,275,1811,737,205,818,1403,310,1358,471,617,267,359,475,254,1474
717511	314,205,240,3158,200,32,2887,1501,2263,890,67,747,2370,1474,207,238,2914,365,217,373,2646,1764
717512	1396,160,572,266,1259,254,122,352,65,740,1335,204,87,1280,1474,45,726,510,587,1409,781
717513	1811,811,357,97,429,740,1955,1723,1335,890,1759,15,988,1829,513,1152,951,1474,373,359,192,510,2455,781
717514	2356,68,15,46,38,1234,167,2142,1474
717515	262,314,876,275,610,157,95,771,417,944,1055,988,1286,325,392,1494,1474
717516	79,488,2319,347,1474
717517	957,160,2403,33,1474
717518	2013,1474
717519	1268,3610,4493,702,2621,1474
717520	176,45,127,99,216,43,902,1474
717521	359,1474
717522	1221,275,205,818,238,890,266,351,373,65,1358,171,359,254,1409,1474
717523	225,3678,835,205,1420,426,368,938,3011,866,2980,819,2302,2200,1783,19,2889,1474
717524	160,2948,3317,1543,65,1718,359,254,1474
717525	2199,1358,3161,1609,1474
717526	336,262,4653,3549,76,35,491,171,46,1741,86,369,793,1474,351,80,2384,102,198,19
717527	262,1233,205,854,474,699,686,86,73,1474
717528	2391,1474
717529	1128,626,1872,1938,531,3434,2843,678,2063,1281,157,411,1587,2133,4310,1732,890,1358,871,2783,2357,966,1068,1654,1201,1474,3015,498,1522,426,2671,2041,1969,1784,911,1869,41,1259,19
717530	572,2934,1518,7,1207,1221,3050,97,2049,3177,67,3090,1474,568,79,617,102,359,19,3331
717531	1609,133,1474
717532	69,1474
717533	1147,2116,1474
717534	56,207,179,411,1088,133,3309,373,450,900,27,1474
717535	988,1474
717536	2734,1474
717537	1821,390,335,416,1219,696,69,1141,809,588,106,1474
717538	262,335,95,474,2148,1474
717539	109,1460,811,885,875,144,2991,327,1474
717540	127,174,1334,167,717,1474
717541	2437,238,1918,1474
717542	275,2056,238,218,65,856,707,1778,359,740,2124,510,513,51,1364,1474
717543	876,1335,2476,1059,818,1635,3301,397,526,2351,17,604,359,1601,379,1723,819,1474
717544	160,467,223,2805,357,1055,93,1221,2166,95,65,4015,2513,740,673,2918,1723,218,1358,544,872,17,2107,699,1060,1474,3756,2037,1757,238,292,437,617,53,510,841
717545	269,1317,467,38,783,926,42,530,32,97,179,68,65,43,347,216,1943,121,86,337,1474,2098,593,462,41
717546	1618,1200,1474
717547	127,85,1811,266,357,254,84,584,618,464,1358,152,257,1474,921,365,373,359,587,19
717548	778,1772,944,1254,1474
717549	324,2297,2076,168,479,418,86,1503,2579,302,116,398,1474
717550	17,27,2395,1474
717551	2534,1125,2056,219,174,2802,95,87,825,1336,1991,192,3390,2258,222,93,1474
717552	778,401,2834,2410,388,1219,2100,1965,2667,69,987,198,556,588,1127,1474
717553	718,60,1563,179,238,365,397,87,279,38,347,257,746,369,584,1755,1474
717554	1522,3521,732,188,2351,152,3511,46,1474
717555	2114,538,519,1474
717556	324,1328,1474
717557	1118,1474
717558	1396,1825,240,1615,714,76,530,32,157,35,375,3725,171,397,2295,1647,3098,347,1736,398,1262,275,87,1204,988,699,260,1068,775,904,951,1474,1527,1522,2671,351,471,1784,19,102,242
717559	207,373,84,421,359,128,254,1474
717560	127,1396,572,205,474,686,1075,1123,215,1221,104,65,740,131,1955,2514,275,1059,1543,17,1474,3886,45,1375,568,221
717561	712,1474
717562	350,1474
717563	1118,45,2321,2405,307,854,218,352,442,2041,240,241,1055,272,951,254,1474
717564	1215,1275,36,287,2453,1890,643,2522,866,558,764,488,1020,73,702,1747,679,392,1474,1860,841
717565	269,160,810,32,254,755,375,133,84,1587,464,152,1474,2037,1630,90,913,929,27,2346
717566	127,1396,1803,787,818,1207,1344,1788,1075,1346,1530,643,97,2177,429,310,65,3084,46,740,1955,1723,2652,2796,621,1682,748,204,128,747,1660,1474,1253,45,801,498,805,2027,471,1418,1791,41,112,177,841
717567	1418,1474
717568	336,1309,348,1461,531,407,1844,2443,3638,155,686,1093,3044,424,1346,1488,1221,2166,887,456,1195,397,558,166,385,1191,344,933,2386,876,1911,621,227,515,275,638,1059,2091,936,1190,388,668,67,487,479,3076,69,879,328,260,1235,513,549,1474,721,681,975,366,111,3000,1712,591,969,415,0
717569	3555,1474
717570	35,563,292,1358,133,1256,421,146,221,125,1072,1474
717571	88,32,93,2106,491,122,429,352,310,1994,241,84,2513,539,46,1743,450,347,387,865,218,2159,15,17,620,379,37,1474,1446,452,236
717572	2447,3890,1124,4101,783,1224,1049,2544,1737,1525,476,3701,4592,384,2465,1478,1970,2248,3251,1474,1328,593
717573	368,1474
717574	1217,375,17,4202,1893,1474
717575	305,5,3454,1474
717576	266,548,698,938,32,2106,233,219,97,179,133,65,1493,84,347,169,14,1423,67,152,699,257,1474,231,840,373,617,359,41,19
717577	2596,160,1598,205,1324,1221,483,3320,1233,2336,1504,699,1474,951,649,1630,471,510,1409
717578	56,563,2949,911,379,1474
717579	801,1554,1619,2493,2193,1448,696,953,1954,1474
717580	944,1474
717581	1938,461,39,1018,917,3524,548,678,1240,2212,155,686,32,251,627,2106,97,219,179,3961,175,68,133,84,1485,143,1736,2144,876,865,833,1009,2168,87,2520,1066,152,620,257,718,747,2414,775,1054,1474,1553,921,2211,840,238,1248,1088,952,373,1469,2344,19,242,1271,1537
717582	465,65,1474
717583	61,1474
717584	231,208,1474
717585	1009,491,518,995,564,1493,51,1474
717586	2082,1221,1475,875,1474
717587	432,865,1474
717588	504,57,34,243,92,376,23,1006,247,40,318,621,20,345,120,1474,29,525,26,282
717589	2082,748,610,1655,1474
717590	127,262,2213,688,3238,1105,938,3807,1078,740,876,1668,275,218,872,2568,1000,944,2031,1474,1630,1757,238,1718,3656,167
717591	380,2937,2119,1474
717592	29,1078,738,1910,2721,1274,1204,2970,691,1474
717593	3184,1630,1075,1474
717594	262,1124,155,2156,1281,157,2244,219,352,68,325,381,1668,250,409,1230,1793,2101,1474,1328,658,1229
717595	162,626,1256,548,32,1123,233,2294,2974,1493,84,2648,143,2144,2324,1009,3237,1358,67,620,1550,1068,775,37,1474,1506,2393,471,2041,911
717596	1474,1328,2759,1068
717597	455,563,95,84,620,143,436,124,157,1271,1474
717598	127,56,160,818,223,266,1075,254,215,35,429,179,1635,95,832,65,1778,740,450,131,1587,588,51,1102,618,2056,14,720,1059,218,204,2359,1129,17,15,152,107,128,37,1474,45,207,840,238,292,1274,604,221,359,41,2124,510
717599	3757,1364,1474
717600	1403,1474
717601	484,335,123,845,1854,1711,532,588,1474
717602	2774,464,918,1718,1672,359,740,167,1474
717603	262,566,538,731,1926,240,267,1075,475,254,35,233,1049,122,179,3068,310,68,133,352,1493,411,171,46,143,450,131,673,387,349,584,1335,14,1975,890,87,15,152,257,718,1474,2234,45,1630,2820,471,351,1274,373,2622,617,192,1259,19,27
717604	127,3315,3639,2136,3731,961,3875,2753,3187,2920,931,1501,3249,532,3491,520,1748,2840,4102,2143,388,3049,747,37,1755,1474,1757,365,3227,2108,2590,41
717605	3376,1474
717606	750,1946,811,1824,238,553,753,430,2793,1474
717607	858,2182,1474
717608	1125,484,245,2086,335,1219,69,987,1474
717609	45,1674,2774,2586,818,1423,2100,15,17,359,450,228,254,1474
717610	215,269,1358,208,341,1474
717611	449,2405,207,563,95,901,27,152,628,32,505,625,1474
717612	1217,3317,65,988,699,325,1474
717613	484,618,3133,471,513,1474
717614	15,1358,1474
717615	712,1418,1474
717616	1118,45,1506,1259,944,1207,76,316,510,1468,1474
717617	2593,1474
717618	3283,1474
717619	314,566,1322,626,375,2699,1970,179,2080,2512,1204,76,3590,41,86,2791,19,1474
717620	1233,245,219,731,732,266,133,230,46,146,3511,1874,73,2889,1474
717621	4049,3065,2224,636,779,1242,2649,1474
717622	787,782,267,909,32,89,233,219,97,171,68,133,84,785,349,398,621,2928,86,257,1474,498,422,41,19
717623	1221,275,467,87,133,688,726,38,740,1346,2012,1474
717624	1890,35,3622,1670,810,291,1577,95,246,143,1766,1474
717625	726,819,1474
717626	787,3035,775,37,251,1474
717627	1221,498,748,572,1670,2500,1375,238,1812,65,240,699,359,740,1474
717628	931,456,1873,65,1474
717629	32,1474
717630	1506,1474
717631	335,696,298,1025,289,344,1668,4,588,106,250,401,1543,306,1504,1474,3409,604,2130
717632	1226,497,388,167,2347,1474
717633	3419,262,396,223,155,267,38,76,1234,375,429,68,575,46,965,876,204,188,15,86,260,485,1474,978,102,167
717634	1214,335,65,88,588,1474
717635	327,1474
717636	678,133,375,1474
717637	510,1474
717638	604,1954,1474
717639	820,2217,1145,1475,1464,3830,1609,1746,3526,2134,3463,1164,342,1358,892,17,1489,1474,1616,763,112,2342
717640	269,375,90,133,548,46,926,379,1474
717641	2453,1474
717642	15,1474
717643	1426,1474
717644	1811,205,266,1813,686,272,2814,254,157,2556,122,65,599,740,532,1955,865,1723,2796,2324,216,977,771,15,1504,944,152,699,17,513,2021,3190,1474,1364,2162,471,952,1791,617,510,2455
717645	833,1083,1908,1474
717646	35,1009,233,592,97,295,365,266,2529,421,678,988,2384,584,37,1072,2142,1474
717647	1474,1358,25,37,1537
717648	179,1474
717649	45,716,31,1670,1120,1737,1474,1092,1319,507,33,3757
717650	2124,325,2444,1474
717651	2861,494,4314,2260,935,1004,1474
717652	254,1474
717653	1317,1872,1403,1215,155,38,1627,1234,627,1404,3050,375,1425,1537,68,774,575,241,2308,65,286,46,1296,2430,2762,1102,2433,2056,409,188,679,2783,1000,15,944,2562,107,1832,1230,485,1474,45,978,592,238,2984,1328,79,1186,797,316,41,167,2739,242,493
717654	56,2830,1474
717655	2491,315,1474
717656	966,3751,2573,1474
717657	712,1474
717658	315,357,57,784,274,643,310,4,114,679,1301,1000,1474,648,2421,134,4105,167,112
717659	1738,1474
717660	566,467,624,240,32,97,411,133,65,84,962,740,3185,1358,152,1474,207,806,373,359,929
717661	2114,1120,205,1075,1923,1221,387,73,275,1543,1672,1377,699,513,1474,1375,471,1319,617,2638
717662	3320,699,2391,1474
717663	740,65,359,1474
717664	127,686,705,375,2266,65,84,900,1504,2560,257,1468,499,1874,1474,805,840,1065,373,1462,19
717665	226,142,2086,218,339,497,80,53,3184,510,72,51,293,1474
717666	1233,518,65,944,793,1474
717667	1244,1474
717668	1102,14,133,272,2535,1474
717669	1102,56,162,2122,95,103,2674,84,329,599,228,4,254,3330,1474
717670	833,803,721,226,28,1324,1718,7,198,1474
717671	1803,627,764,1620,1723,618,218,1543,15,67,372,86,45,658,481,79,167,781,1396,2861,2902,835,1582,1215,1923,808,3084,575,1305,2818,740,450,2461,900,51,872,2420,4379,1060,513,238,1791,1624,1313,19,396,205,240,2575,1503,254,1346,1930,65,866,349,250,275,2319,1757,4098,102,262,820,1812,688,1484,1018,905,32,157,819,1530,429,743,325,564,699,1474,1253,1718,41,493
717672	1789,150,1267,497,388,589,183,69,974,53,588,106,1474
717673	45,743,2568,966,1474
717674	1418,1474
717675	1181,626,990,1474,555,998,1633,1493,1018,911,819,2663
717676	2672,1358,1474
717677	820,225,300,853,2156,209,219,362,291,175,397,488,11,244,1863,962,1473,349,384,941,275,9,734,1483,87,2389,6,1574,356,2878,1660,1474,1446,448,147,2003,111,4027,762,1200,41,2698,167,19
717678	1358,1474
717679	266,1474
717680	127,205,2355,266,2943,1075,3591,97,743,397,65,131,1759,1301,1504,1991,3903,793,513,1474,238,2162,2676,1274,846,2770,373,167
717681	1466,932,368,670,111,346,79,1250,992,3293,2461,947,608,1893,222,1474
717682	97,365,133,81,15,84,309,46,146,379,499,1474
717683	467,396,622,2639,2294,3287,2218,2419,966,46,1501,38,86,1474
717684	1857,314,944,112,1474
717685	254,68,1474
717686	588,1474
717687	1317,811,205,858,686,1075,905,3291,254,157,819,3046,2119,3317,1563,65,1778,2386,1668,1233,2476,1543,2336,1000,2915,1280,2021,1474,2162,846
717688	449,1315,1619,1930,1474
717689	643,1757,238,57,1042,764,1428,966,3178,36,876,1860,841,1474
717690	226,666,1219,123,388,1854,421,1474
717691	1532,225,870,3263,1666,1585,7,2155,265,3837,1016,796,1044,1611,599,1020,2179,169,2954,368,1831,261,1474,738,1176,1166,1169,108,2449,3727,1962,1027,190
717692	3340,2136,3744,1843,2199,1199,584,3028,833,4056,2655,734,1358,260,1497,985,1474,2550,1616,471,2220,2569,763
717693	1322,205,787,818,240,1207,548,404,1788,146,267,2509,88,32,1281,254,769,35,1635,171,95,310,539,344,673,876,618,748,1059,977,218,679,871,891,15,27,944,67,988,1060,501,257,1054,86,904,1474,951,308,136,2393,593,1718,102,1624,963,834
717694	1221,498,1718,2716,1474
717695	510,65,1474
717696	52,2805,68,1971,191,1764,1474
717697	56,205,881,32,982,68,440,60,318,544,891,2159,17,208,1474,308,207,246,228,421
717698	117,2464,146,287,233,99,219,97,84,43,143,740,325,387,477,1358,1066,82,152,257,1474,207,840,217,19,302,5
717699	127,56,269,446,266,155,32,215,35,233,455,97,179,2332,175,171,81,84,43,143,537,1102,1730,337,513,37,1474,90,365,103,147,217,373,2657,271,41,221,19,781
717700	1396,262,572,3263,1582,1075,803,2106,854,65,740,588,833,275,1504,988,699,1054,793,513,1474,2774,238,2100,242,691
717701	2787,283,388,1433,1286,422,785,611,1474
717702	1008,2566,320,1399,2273,1474
717703	125,164,1202,1375,1525,145,2326,70,2768,3397,2568,982,2319,2031,37,1474
717704	3447,332,831,3638,3985,2706,1649,3946,1474
717705	418,1474
717706	1805,1474
717707	1322,818,871,1601,1497,1660,1474
717708	228,1253,86,1474
717709	1173,737,2199,65,859,691,33,972,327,1123,1474
717710	1643,1943,2025,1498,1358,2375,483,84,988,3560,3293,1224,1474
717711	202,364,838,1474
717712	811,240,1018,267,76,2753,1281,254,3085,1923,1795,350,411,175,310,779,2979,1620,588,1005,307,3177,871,2743,501,257,718,513,485,997,1654,1474,45,2098,1088,471,952,2041,1186,1153
717713	731,375,179,365,133,2909,436,1734,3186,2363,1474
717714	127,1876,411,397,68,679,1319,27,46,2128,38,347,2813,19,1729,865,1474
717715	1979,818,564,84,254,157,1474
717716	1579,2473,1244,1540,1311,1706,1862,2327,1474
717717	176,3053,376,90,1771,325,1570,511,1711,51,505,1474
717718	242,153,1354,1474,743,65,332,111,670,795,814,358,1949,1054,1254,116,951,1506
717719	610,818,287,643,298,397,68,488,73,1046,37,2258,1474,45,426,452,79,726,510,167,841,493
717720	127,275,1811,44,205,52,322,179,266,65,265,102,86,173,40,1474
717721	1259,1474
717722	1627,88,539,436,956,536,387,2322,3240,957,464,87,1759,107,1230,1474,1392,568,238,667,192,691
717723	1825,3790,1474
717724	314,348,638,106,145,779,152,588,148,1729,1474
717725	127,56,262,1598,731,205,155,267,663,643,95,68,65,740,1587,349,218,1543,15,2752,485,1364,1474,1506,1375,238,617,604,359,510,221,167
717726	127,1803,1812,205,818,1075,254,1221,1535,743,344,740,450,387,349,15,17,67,699,1468,1474,1630,207,1375,471,481,2638,510,53,1259,242
717727	1990,1474,1141
717728	2056,1630,2774,1474,65,2100,3926,740,2180,588,865,513,589
717729	835,1215,2813,1123,32,1221,233,1374,179,397,68,65,962,347,673,349,2324,409,204,218,15,67,1269,1474,207,952,373,1373,911,19,192,41,242
717730	56,49,1132,266,272,93,215,122,179,133,143,131,3746,865,169,890,464,87,620,257,1474,373,587
717731	127,1335,88,204,818,238,65,15,1319,740,131,221,510,37,1474
717732	2183,326,144,106,1474
717733	745,1474,876
717734	1662,1474
717735	4451,4215,1493,910,1243,3138,1234,1371,2391,1474
717736	142,218,1474,440,208,2561,2918,190,66
717737	215,56,801,97,977,171,464,133,373,84,1740,32,359,131,1492,865,1474
717738	572,1811,272,41,1474
717739	45,109,572,4340,497,856,359,607,1474
717740	1662,111,1474
717741	1258,3351,1000,536,1474
717742	337,32,1474
717743	29,1811,1193,20,57,1055,1474
717744	1358,1474
717745	703,1474
717746	127,56,1132,146,1075,938,475,32,1123,254,35,2521,179,352,133,779,1485,143,740,876,1759,67,37,1364,1474,45,471,452,2375,373,1718,1360,726,359
717747	71,27,1474
717748	1107,418,2936,2775,2307,2998,1199,992,1293,3755,882,2147,1000,970,1152,1959,1474,773,1981,1630,1387,2178,2202
717749	160,1861,1099,3483,705,176,982,1635,310,450,770,2769,977,307,390,464,2828,527,1829,1474,801,592,305,452,373,195,421
717750	1173,65,1474
717751	787,279,728,373,587,1066,684,187,192,32,19,1474
717752	1253,3351,275,1265,1813,866,17,2622,167,37,702,1364,1474
717753	127,215,663,1221,748,122,205,818,2199,266,65,604,699,510,1587,951,1474
