	127,797
2415409	3358,3478
2415410	3358,2479
2415411	3358,3478,783
2415412	3358,3538,4283
2415413	2194,268,538,3358
2415414	3510,3918,2410,3358,1601,3264
2415415	1850,268,1204,3099,3358,1199,1601,3264
2415416	3358,2450,19,97
2415417	3358,3678
2415418	732,3358,155
2415419	3808,3866
2415420	488,3808
2415421	3808,75,501
2415422	1414,3161,3808
2415423	3808,136,995,357,271
2415424	1414,3808,2089
2415425	3808,1240
2415426	3808,95
2415427	3808,1209
2415428	3808,342,981
2415429	451,2910,3808
2415430	3808,75,1864
2415431	3808,155,19,76
2415432	3808,3
2415433	3808,118,525
2415434	2033,3808
2415435	3808,129,187
2415436	2148,3808
2415437	3014,3808
2415438	465,1609,3808
2415439	3808,69,493
2415440	2,3808
2415441	3808,265
2415442	2090,3808,666
2415443	101,3808,402,320
2415444	910,3808
2415445	2704,3808,606,24,150,187,562,66
2415446	179,3808
2415447	488,3808
2415448	3881,3808,1317,198
2415449	3357,3808,2738
2415450	60,3808
2415451	483,3808,1209
2415452	2787,3808
2415453	2200,3808,2903,104
2415454	3808,1209
2415455	3808,2544,3973,795,257,1834,3462
2415456	3808,3852,372,4587,947
2415457	2980,3808,1662
2415458	3808,4175
2415459	4419,3808
2415460	1027,3808,594
2415461	3808,1879
2415462	210,3808
2415463	80,3808,3505
2415464	3808,934
2415465	3808,3107
2415466	3808,3866
2415467	3808,1418
2415468	2355,3124
2415469	3124,2180
2415470	3003,3124
2415471	3124,3410
2415472	3124,3234
2415473	3124,2091,704
2415474	3652,3124,16
2415475	218,56,3124
2415476	3071,3124
2415477	3349,3124
2415478	3349,392,3124
2415479	2891,3124
2415480	1009,3124,2917
2415481	401,25,483,1141,3124,222
2415482	3124,1427
2415483	3124,1428
2415484	1000,1013,3124,2575
2415485	4362,3558,396,462,726,228,1609,3124,176
2415486	3124,585,1896
2415487	3124,1388
2415488	3124,87
2415489	3137,3124,2084
2415490	434,3124
2415491	2355,3124
2415492	3124,3340
2415493	3124,87
2415494	107,3124,87,223
2415495	3099,510,3124,1055
2415496	474,1587,510,3124
2415497	3124,4706
2415498	643,3124,1749
2415499	1221,205,2770,617,510,3124,254,1723
2415500	3124,1723
2415501	1221,1136,467,1088,1543,2220,155,3124,19
2415502	2216,3124
2415503	3124,2583
2415504	838,402,128,4423,3124
2415505	3124,219
2415506	3124,320
2415507	1420,204,3124,257
2415508	818,3124
2415509	2086,87,1815,3088,740,3124
2415510	1055,3124
2415511	3124,86
2415512	3124,1358
2415513	3124,144
2415514	2,3124
2415515	3124,1182
2415516	910,3124
2415517	3124,436
2415518	3124,1358
2415519	2887,3124,1630
2415520	3124,2174
2415521	577,3124
2415522	17,3124
2415523	1665,3124
2415524	228,3124
2415525	3124,2731
2415526	2355,3124
2415527	2355,3124
2415528	657,228,1609,3124,1853
2415529	3349,3124
2415530	483,3124,1747
2415531	4204,3124
2415532	3124,728
2415533	212,3124
2415534	1414,3124,68,76
2415535	2130,3124
2415536	56,999,2355,890,373,25,1829,3124
2415537	3124,2189
2415538	1173,3124
2415539	1022,3124
2415540	56,3124
2415541	379,3124
2415542	2130,3124
2415543	1890,3124,1699,910
2415544	532,3124,580
2415545	2586,3124
2415546	67,3124,771,1737
2415547	3124,217
2415548	910,2437,3124
2415549	307,3124,160,642
2415550	95,3124,154
2415551	1354,3124,589
2415552	3124,44
2415553	488,3124,272,14
2415554	1789,3124,2637
2415555	109,1924,474,3124,1723
2415556	3124,198
2415557	3124,935
2415558	3124,3644,204
2415559	3124,87
2415560	56,257,748,133,550,809,3124
2415561	3124,3155
2415562	3124,2177
2415563	3124,844
2415564	3124,152
2415565	3124,3314,493
2415566	2556,1812,2359,464,241,15,152,344,478,2124,3124,2535
2415567	90,3124,53
2415568	3124,3599
2415569	3124,1418
2415570	932,14,2375,143,510,3124
2415571	1396,1465,1259,3124,1723
2415572	417,1001,3124,222
2415573	3349,3124,2943
2415574	219,409,2669,1901,3137,3124
2415575	3349,510,3124
2415576	3124,2731
2415577	3124,589
2415578	3124,1723
2415579	3124,118,505,192
2415580	101,216,2922,2583,3161,3124
2415581	107,3124
2415582	3124,844
2415583	721,3124,144,3172
2415584	390,3124
2415585	1459,3124
2415586	646,3124,221
2415587	3784,2671,1864,1141,3124,106
2415588	3349,3124
2415589	510,3124
2415590	2393,179,17,379,584,3124
2415591	3124,2238
2415592	666,3124
2415593	2514,3124,1805
2415594	3124,844
2415595	510,3124,449
2415596	1022,3124
2415597	2782,3340,1737,2418,1774,372,1055,819,2128,1199,1087,228,1804,1046,3124,222,2637
2415598	3246,1420,223,32,128,260,228,3124,627
2415599	846,510,3124,617
2415600	474,3124
2415601	3124,144
2415602	510,3124
2415603	1821,3124
2415604	1221,3124
2415605	3124,4213
2415606	1221,3124,2797
2415607	294,1440,38
2415608	748,1999,1440,84,128,1775
2415609	1440,2207,421
2415610	269,1440
2415611	922,1440
2415612	1440,452,891
2415613	1440,44
2415614	1440,357,128
2415615	1440,402
2415616	337,1440
2415617	1440,251
2415618	1440,461
2415619	269,216,1440,1060,251,1057
2415620	302,1440
2415621	1009,1440,986
2415622	504,1440,302,1932,1940,34,118,2379
2415623	188,1440
2415624	269,1198,1440,1057
2415625	269,1440,986
2415626	269,716,491,1440,986,511,377
2415627	766,1999,95,1440,1057
2415628	269,1440,15,251,1057
2415629	269,49,14,1440,510,1057
2415630	1440,1057
2415631	1440,177
2415632	1440,251
2415633	206,1440
2415634	269,1440,1057
2415635	1440,251
2415636	269,1440
2415637	88,1440
2415638	1440,25,143,192,421
2415639	2878,1440
2415640	1440,246
2415641	302,1440
2415642	31,1440,38
2415643	1665,728,1440,286,16,612,66
2415644	269,1440
2415645	1440,272,1057
2415646	2995,1440
2415647	158,1440
2415648	1132,1440,81,88,251
2415649	210,630,1440,424
2415650	1440,246
2415651	307,1440,982
2415652	390,132,1440,912,757
2415653	1440,505,2631
2415654	269,1440,986
2415655	1421,577,411,1440,667
2415656	188,95,1440,832,63
2415657	1440,53
2415658	806,624,1440,1057
2415659	673,1440,251
2415660	269,1440
2415661	1440,251
2415662	235,1440
2415663	1440,3798
2415664	1440,87
2415665	154,236,1440,241
2415666	159,1440,891
2415667	72,1440
2415668	1440,2207
2415669	269,1440
2415670	539,1440,1057
2415671	568,1440
2415672	269,1440,986,5,1057
2415673	1440,986
2415674	42,1440
2415675	676,445,1440,596,506
2415676	1440,1040
2415677	101,1440
2415678	302,1440,76
2415679	110,269,1440,708
2415680	269,1440
2415681	1440,467
2415682	1999,2019,1440
2415683	269,1440,1377,38,72
2415684	1440,93
2415685	1440,38,14
2415686	269,1132,715,1440,344,2844,4164,251
2415687	158,1440,8
2415688	269,1440
2415689	1440,1973
2415690	1440,1189
2415691	1440,1057
2415692	1440,986
2415693	1440,3433
2415694	179,1440
2415695	1440,986
2415696	823,302,1440
2415697	1440,1141
2415698	269,1440,1057
2415699	154,1132,1440
2415700	1996,1440
2415701	269,1440
2415702	1440,251
2415703	269,1440
2415704	101,162,160,1644,1440,986,158,265,591,5,1748
2415705	302,1440
2415706	1440,963
2415707	269,56,491,1440,133,131,502
2415708	302,1440
2415709	598,299,1440
2415710	302,1440
2415711	51,1440
2415712	2802,282,1440
2415713	269,1440
2415714	2262,539,1440
2415715	1999,1440,81,436,251
2415716	38,1440,1189,642
2415717	1440,506
2415718	1440,216
2415719	269,616,1440
2415720	2019,1440
2415721	1440,1057
2415722	1440,246
2415723	210,1440
2415724	1440,76
2415725	302,1440,296
2415726	1440,36
2415727	302,1440
2415728	269,1440,673
2415729	1440,38,1057
2415730	1440,377
2415731	1440,377
2415732	212,1440
2415733	88,152,1440,599
2415734	1046,1440,377
2415735	2,203,1440,16
2415736	152,1440,272
2415737	269,1440
2415738	1999,1440
2415739	269,1132,1440
2415740	1440,58
2415741	1440,1057
2415742	1132,1440,251,1057
2415743	269,1132,1440
2415744	1440,1057
2415745	31,934,1440,6,100,23,36,18
2415746	324,1440
2415747	1440,986
2415748	186,1440
2415749	1440,246
2415750	1440,1057
2415751	1440,461
2415752	269,1440
2415753	1132,1440
2415754	1440,579
2415755	1440,1057
2415756	1440,1057
2415757	182,1440
2415758	394,305,1440,271,36
2415759	1440,93
2415760	269,1440
2415761	988,1440
2415762	302,1440
2415763	893,56,1440,176
2415764	1440,1189
2415765	345,321,1440
2415766	208,1440
2415767	341,1440
2415768	188,1440,68,155,1234
2415769	1440,1057
2415770	1440,1189
2415771	17,1440
2415772	1132,1440,1057
2415773	1440,4102
2415774	269,1440,81,986,2019
2415775	1440,963
2415776	1440,763
2415777	269,1440,258,986
2415778	162,1440,251
2415779	154,1440,343,320
2415780	1440,763,72,3252,1057
2415781	1440,38
2415782	269,1440
2415783	51,72,1440,377
2415784	265,1440
2415785	1440,986
2415786	1887,2017,3526,1440
2415787	269,1440,986
2415788	1440,3,367,343,72
2415789	9,1440,251
2415790	2887,934,1440,510,424
2415791	269,1440,17,599,236,177
2415792	1440,87
2415793	1440,177
2415794	772,1440
2415795	2019,1440
2415796	808,620,155,1440
2415797	269,1440
2415798	269,1440
2415799	1440,1057
2415800	302,1440
2415801	1440,38
2415802	269,1440
2415803	269,1440,986
2415804	269,1440,986,176
2415805	4,1440
2415806	1440,58
2415807	72,1440
2415808	269,1440,251
2415809	305,1440
2415810	1440,2719,128,956,337,505,493
2415811	1440,258
2415812	233,411,1440,2843,349,177
2415813	999,269,299,1440
2415814	307,269,1440
2415815	955,1440
2415816	1440,76
2415817	302,1440
2415818	1440,251
2415819	1818,269,1440,1057
2415820	1440,337,460,177
2415821	269,1440,251
2415822	302,1440,38
2415823	269,1440
2415824	1440,1057
2415825	1440,251
2415826	1278,1440
2415827	269,1440
2415828	269,1440
2415829	1440,38,251
2415830	269,1440
2415831	2019,1440
2415832	2019,1440
2415833	341,1204,1440
2415834	1440,192
2415835	51,1440
2415836	269,1440
2415837	1440,702
2415838	999,1440
2415839	520,1440
2415840	103,1440,377
2415841	130,1440
2415842	1440,1189
2415843	2019,1440
2415844	1392,177,1440,44
2415845	216,1451,1440,246,177
2415846	1440,377
2415847	832,1440
2415848	269,1132,1440,76,2012
2415849	269,1440,1057
2415850	307,1440
2415851	1440,251
2415852	2194,1440,739
2415853	1440,1057
2415854	1440,241
2415855	5,1440,1060
2415856	2146,145,1440,251
2415857	1355,1440
2415858	1440,359
2415859	1440,1057
2415860	103,269,1440
2415861	1440,986
2415862	2,1657,1440
2415863	2279,1440
2415864	1117,270,1440,76
2415865	269,1440
2415866	132,1440,460,986,258,628
2415867	1440,1658
2415868	1440,176
2415869	1440,177
2415870	1440,1057
2415871	269,95,1440,1057
2415872	1440,444
2415873	269,1440
2415874	269,451,1440,1057
2415875	1440,251
2415876	269,1755,1440,3419
2415877	269,2703,223,1440,986,1711
2415878	302,1440
2415879	1440,216
2415880	1440,160
2415881	269,1440,177
2415882	666,1440
2415883	269,1440,1178
2415884	269,1440,986
2415885	1440,986
2415886	1440,192,236
2415887	1440,272,53
2415888	1440,986
2415889	943,1440
2415890	1440,1040
2415891	2079,1440
2415892	3025,1440
2415893	269,502,1440,986
2415894	269,1440,154,462,76,337
2415895	1440,1591
2415896	49,1440,272
2415897	269,1440,251
2415898	1440,1830
2415899	305,1440
2415900	269,1440
2415901	269,1440
2415902	844,1440,246
2415903	101,172,284,1440,986,58
2415904	101,24,1440,246,16,177
2415905	1132,160,1440,2043,17,1057
2415906	269,1440,986
2415907	868,1440
2415908	269,85,1440,81,192
2415909	1440,592
2415910	72,1440,579,3
2415911	269,1440
2415912	1440,717
2415913	269,14,1440,251,1057
2415914	624,1440
2415915	269,704,1440,2013
2415916	269,1440
2415917	1440,1057
2415918	1440,1059
2415919	154,624,1440,1057
2415920	3255,1440
2415921	1440,986
2415922	269,1440
2415923	1132,592,307,390,1440,982
2415924	1440,1057
2415925	1440,257
2415926	1887,1440,1265
2415927	269,1440,49,986
2415928	721,1812,1440,144,69
2415929	1440,3587
2415930	390,1440
2415931	1576,85,1440,506
2415932	1440,779
2415933	1440,1546
2415934	1440,1057
2415935	56,1440
2415936	269,1440,986
2415937	1440,891
2415938	1440,3339
2415939	1440,251
2415940	1440,1057
2415941	1440,19
2415942	307,1440,93
2415943	2019,1440
2415944	269,204,1440,15,43,337
2415945	1440,128
2415946	844,51,1440,511
2415947	1013,1440
2415948	1999,269,1440,986
2415949	1440,1057
2415950	1440,965
2415951	269,1440
2415952	1440,42,4032,131
2415953	269,1440,986
2415954	154,1440
2415955	1440,986
2415956	1440,76
2415957	1440,251
2415958	1440,177
2415959	497,1440,1057
2415960	1440,87
2415961	1440,506,642
2415962	204,1440,986
2415963	797,60,1440,986
2415964	1440,176
2415965	1440,251
2415966	341,761,1440
2415967	2022,1440
2415968	1440,2261
2415969	2173,1440,296
2415970	269,1440,258,986
2415971	417,1440
2415972	1158,1440
2415973	2019,1440
2415974	1440,177,236
2415975	269,1440
2415976	269,1440,1057
2415977	1440,58
2415978	1440,965
2415979	269,1440
2415980	2841,188,1440,15,107
2415981	80,1132,1440,251
2415982	1440,986
2415983	95,1440
2415984	825,1440,38
2415985	320,330,1440,402,367
2415986	341,103,1440,251
2415987	1440,222,251
2415988	2678,1440,691
2415989	1440,14
2415990	302,1440
2415991	269,1440
2415992	196,1440
2415993	269,14,212,1440,146
2415994	1440,986
2415995	269,1440
2415996	1440,251
2415997	269,1440
2415998	1999,2019,1440,1057
2415999	269,1440
2416000	63,1440
2416001	269,1440,1057
2416002	1440,68
2416003	1999,2019,1440,251
2416004	2019,1440
2416005	365,1440
2416006	172,1440
2416007	1440,251
2416008	50,269,1440,364
2416009	269,49,279,1440,246,43,60,72
2416010	1440,1057
2416011	269,1440
2416012	1440,106
2416013	269,1440,251
2416014	2839,1440
2416015	1440,1209
2416016	1440,2898
2416017	269,666,1440,986
2416018	176,269,1440,1841,1057
2416019	1440,93
2416020	1440,38
2416021	1440,1057
2416022	1440,501
2416023	2492,1440,658
2416024	269,1440
2416025	269,1440,251,986
2416026	144,1440,111
2416027	1440,986
2416028	302,1440
2416029	72,1440,986
2416030	1440,592
2416031	1440,93
2416032	269,1440,177,93
2416033	937,895,1440,140
2416034	2553,1440
2416035	1440,251
2416036	336,451,870,922,278,1440,84,80,447,507,32
2416037	337,269,72,1440
2416038	307,2019,1440
2416039	1440,251
2416040	1440,81,76,938,88
2416041	1440,986,176
2416042	269,1440,311
2416043	840,1440,106
2416044	1440,76
2416045	1392,307,1440,667,38
2416046	1440,3630
2416047	1440,143
2416048	63,1440
2416049	1440,251
2416050	307,1440
2416051	1440,1057
2416052	72,1440,642
2416053	1929,1440,792,1749
2416054	101,1440
2416055	1440,4,18
2416056	1440,251,986
2416057	1440,1057
2416058	15,85,1440
2416059	1440,2591
2416060	269,1440,77,986,43,60,72,93
2416061	1440,986
2416062	302,1440
2416063	269,1440
2416064	282,1440
2416065	269,1440,246
2416066	1440,986
2416067	5,1440
2416068	1440,251
2416069	4419,1440,38
2416070	2019,1440
2416071	1440,1057
2416072	667,1440,39
2416073	1440,2844
2416074	269,1440,1040,986
2416075	269,1440
2416076	269,1132,568,1440,1591,43,42,88,505
2416077	1440,377
2416078	269,42,1377,1440
2416079	324,1440
2416080	1440,1057
2416081	88,1440
2416082	46,1440
2416083	269,296,1440,417,60
2416084	934,1440
2416085	269,1440
2416086	269,1440,986
2416087	269,1440
2416088	337,1440,77
2416089	1440,143,93
2416090	269,1440
2416091	14,1440,251,1057
2416092	90,1440
2416093	1440,177
2416094	307,1440
2416095	1440,81
2416096	1439,1440
2416097	324,1440
2416098	308,269,844,1440,478,963
2416099	1440,3
2416100	221,2019,1440
2416101	72,1440,251
2416102	1440,963
2416103	15,72,1440,76
2416104	1440,251
2416105	1440,963
2416106	269,1440
2416107	133,1440
2416108	269,1440
2416109	1440,81,251,2844
2416110	269,1440,1057,986
2416111	269,1440
2416112	72,1440
2416113	84,1440
2416114	1440,246
2416115	1440,1419
2416116	269,2947,1440,726,1068,251,1057
2416117	451,49,1440,38,272,72
2416118	378,1440,76,4,1057
2416119	269,1440,986,1342,318
2416120	269,1440,38
2416121	307,1132,1440
2416122	269,1440,251,986
2416123	1440,1057
2416124	302,1440
2416125	251,1440,246,236
2416126	101,1440,1189,53
2416127	1440,986
2416128	101,1440,162
2416129	2019,1440
2416130	1440,136
2416131	80,502,1440
2416132	624,1440,505
2416133	1440,38
2416134	46,1440,296
2416135	269,1440,1057
2416136	317,1440
2416137	1440,281,1057
2416138	1440,1841
2416139	269,1440,1158,38,236,680,251
2416140	1000,1857,1440,1560
2416141	1440,87,131,19,177
2416142	269,1440,1057
2416143	2221,295,1440,2762
2416144	269,1440,986
2416145	1440,251
2416146	269,1440,986
2416147	252,1440
2416148	1440,216
2416149	1440,511,1057
2416150	387,539,1440
2416151	101,1440
2416152	1440,192
2416153	1102,1132,1440,246,1778,963,1057
2416154	269,1440,986
2416155	1440,1057
2416156	72,1440
2416157	269,1440,38,86
2416158	1440,246
2416159	1440,176
2416160	269,1440
2416161	1440,19
2416162	1440,493
2416163	915,1440
2416164	1102,1440
2416165	1440,1189
2416166	133,1440
2416167	1440,1057
2416168	307,1132,1440
2416169	337,1440
2416170	269,1440,986,176
2416171	216,2,1440,1085,329
2416172	1440,251
2416173	101,1440,192,88,349
2416174	101,1440,192,88,349
2416175	2019,162,1440,447
2416176	302,1440
2416177	1132,1440,1057
2416178	269,766,1440,1815,642,2019,93
2416179	269,1440
2416180	14,1440,236,769,251
2416181	539,1440
2416182	307,1440
2416183	1440,176
2416184	2876,1440,1057
2416185	269,467,955,1440,624,46,236,377
2416186	269,1440,986
2416187	269,1440,246
2416188	1440,611
2416189	2019,1440
2416190	341,269,1440
2416191	1440,1057
2416192	2019,1440
2416193	1440,1057,251,986
2416194	49,1440,516
2416195	72,1440,318
2416196	3844,1440,910,128,221
2416197	1440,986
2416198	269,1440
2416199	1440,3887
2416200	1440,1057
2416201	269,1440
2416202	1440,986
2416203	95,1440
2416204	934,1440
2416205	269,1440
2416206	1440,276,3252
2416207	640,1440,1305
2416208	1440,38,251
2416209	282,1440
2416210	1440,251
2416211	269,1440
2416212	15,1440
2416213	655,329,1440,355
2416214	1440,192
2416215	269,51,1440,60
2416216	132,668,1440
2416217	1209,1440,216,81
2416218	1440,38
2416219	63,2592
2416220	577,2592
2416221	195,2592
2416222	206,2592
2416223	109,191,2592
2416224	327,2592
2416225	9,2592,551
2416226	1125,388,421,552,2592
2416227	93,2592
2416228	148,2592
2416229	168,2592
2416230	1176,2592
2416231	3575,106,2592
2416232	943,439,2239,2592
2416233	180,2592
2416234	2172,2592
2416235	141,9,2592,168
2416236	3,2592,25
2416237	2812,2592
2416238	754,2592
2416239	402,2592
2416240	374,2592
2416241	1529,2592
2416242	1031,1010,703,1896,2592
2416243	1386,4065,2592
2416244	2829,2592
2416245	1479,2592
2416246	289,488,584,2592
2416247	2128,2592
2416248	738,2592
2416249	2210,2467,2592
2416250	2,1753,574,2592
2416251	30,525,2592
2416252	3014,2592
2416253	7,2592
2416254	345,168,159,1039,137,745,2592
2416255	3000,641,3599
2416256	415,3599
2416257	716,3599
2416258	3000,3599
2416259	3599,8
2416260	2062,1883,3599
2416261	1993,532,3599
2416262	710,3599
2416263	3599,809
2416264	1224,3599
2416265	1883,3599
2416266	3283,3512,3599,3159
2416267	3599,204
2416268	3000,3599
2416269	3599,210,7,1883,34
2416270	391,3599
2416271	483,3599
2416272	3410,3599
2416273	3188,3599
2416274	2278,1200,2255,3599
2416275	291,710,3599,3000
2416276	3599,876
2416277	3675,3599
2416278	3000,3599
2416279	3000,3599
2416280	779,3599
2416281	3000,3599
2416282	3000,3599
2416283	717,3599
2416284	3000,3599
2416285	3599,1059
2416286	3188,3000,3599
2416287	3599,1537
2416288	3000,3599
2416289	28,3599,80,1962,48
2416290	2062,574,3599,615,3000
2416291	242,3599
2416292	302,3599
2416293	170,3599
2416294	3000,3599
2416295	230,3599
2416296	2523,3599
2416297	3000,3599
2416298	3000,3599
2416299	3188,3599
2416300	662,3188,1266,3599
2416301	3188,3599
2416302	3188,3599
2416303	3000,3599
2416304	3599,501
2416305	3599,1721
2416306	3000,175,3599,2189
2416307	3188,3599
2416308	2579,3599
2416309	3000,3599
2416310	270,3599
2416311	1742,3570,3599
2416312	139,3599
2416313	3000,3599
2416314	3599,24
2416315	439,3599
2416316	1397,2963,391,3599,1712,195,1545,165,540
2416317	374,3599
2416318	621,3599
2416319	1023,1209,3599
2416320	382,3599,2779
2416321	3599,2379
2416322	3000,3599
2416323	3599,4334
2416324	1439,3599
2416325	744,3564,507,3599
2416326	641,3599
2416327	3000,3599
2416328	110,3599
2416329	3000,344,3599
2416330	1015,3599
2416331	456,2000,3599
2416332	2955,111,3599
2416333	662,3599
2416334	3188,3000,3599
2416335	1611,3599
2416336	2632,3599
2416337	482,3599,186,8,140
2416338	662,3599
2416339	359,3599
2416340	302,3599
2416341	2955,3599
2416342	3467,3599
2416343	109,3599
2416344	717,3599
2416345	374,1023,3599,550
2416346	1883,44,3599
2416347	210,3599
2416348	3188,3599
2416349	618,3599
2416350	1209,3599
2416351	2579,3000,3599
2416352	2324,3599
2416353	1409,3599
2416354	1883,3599
2416355	3188,3000,3599
2416356	3188,3599
2416357	2052,3599
2416358	3188,3599
2416359	336,345,3599
2416360	3599,394
2416361	235,3599
2416362	3746,3599
2416363	3061,3599
2416364	1841,3599
2416365	1929,3599
2416366	3188,3000,3599
2416367	139,3599
2416368	3000,3599
2416369	1173,44,3599,359,876
2416370	3000,3599
2416371	291,2591,3599
2416372	3000,3599
2416373	7,1652,3599
2416374	201,717,3599
2416375	3283,3599
2416376	280,28,256,3599,80,3188
2416377	3188,3599
2416378	28,3599
2416379	877,324,3599
2416380	3000,3599
2416381	2185,2391,3599
2416382	1325,3599
2416383	3000,3599
2416384	380,3599
2416385	3000,3599
2416386	3188,3000,3599
2416387	6,3599
2416388	78,3000,3599
2416389	3000,3599
2416390	3567,3599
2416391	175,3599
2416392	2793,3216,2955,3599
2416393	3000,3599
2416394	28,3599,474,2474,415
2416395	3599,2973
2416396	48,3599
2416397	2437,1125,922,3599,2130
2416398	424,3599
2416399	3000,3599
2416400	3000,3599
2416401	2591,3599
2416402	3599,2290
2416403	2062,3599
2416404	895,3599
2416405	3188,3599
2416406	52,3599
2416407	363,3599
2416408	3188,3599
2416409	294,3599
2416410	3000,3599
2416411	3599,627
2416412	662,3188,3599
2416413	823,1646,68,3599,3188
2416414	3283,3599
2416415	3000,3599
2416416	3000,3599
2416417	3188,3599
2416418	3000,3599
2416419	1883,3599
2416420	238,2532,3599
2416421	366,3599
2416422	1940,3599
2416423	508,3599
2416424	1182,3599
2416425	890,3599
2416426	52,3000,3599,25
2416427	662,2062,3599
2416428	3000,3599
2416429	392,3599
2416430	3188,3000,3599
2416431	38,3599
2416432	1883,3599
2416433	3599,3198
2416434	1602,3599
2416435	487,3599
2416436	2062,3599
2416437	112,3599
2416438	3000,3599
2416439	3000,3599
2416440	3000,294,3599
2416441	196,9,3599
2416442	363,3000,3599
2416443	3188,3599
2416444	1306,3599,2053
2416445	3712,3599
2416446	3000,3599
2416447	2134,3599
2416448	34,3599
2416449	3188,3599
2416450	2,709,3599
2416451	662,2642,3599
2416452	3000,3599
2416453	3000,3599
2416454	109,346,154,3599
2416455	1883,3599
2416456	3564,3599
2416457	3000,3599
2416458	3000,3599
2416459	997,3599
2416460	364,376,151,2062,3599,63
2416461	3000,3599
2416462	1841,3599
2416463	717,3599
2416464	3188,3599
2416465	4185,176
2416466	524,54,1742,3457,1241,669,4185,1599
2416467	690,324,2882,54,103,6,661,1595,1037,4185
2416468	4185,358
2416469	54,1595,285,4185
2416470	1532,320,894,1956,4185
2416471	112,4185
2416472	4185,1040
2416473	1595,4185,635
2416474	4185,1040,1276
2416475	4185,68,176
2416476	52,151,120,4185
2416477	1040,230,4185,53,341
2416478	460,4185
2416479	4185,334
2416480	4185,2379
2416481	196,4185
2416482	460,4185
2416483	5,282,4185
2416484	623,4185
2416485	2,4185,159
2416486	588,4185,176
2416487	4185,1276,236
2416488	3515,4185
2416489	296,1145,764,4185,1046
2416490	4185,1040
2416491	4185,320
2416492	4185,1040
2416493	4185,358
2416494	4185,66
2416495	1883,4185,1266
2416496	709,4185
2416497	1595,285,4185,324
2416498	103,4185,377
2416499	279,4185,441
2416500	1327,334,437,4185,492,628,281
2416501	797,4185
2416502	538,4144
2416503	1647,4144
2416504	1061,4144
2416505	890,4144
2416506	60,4144,272
2416507	943,3579
2416508	1590,2147,3579,458,1200,1371,2391
2416509	9,3579
2416510	2329,219,3579
2416511	3579,3611
2416512	1052,36,3579
2416513	265,3579
2416514	34,3579
2416515	1920,3579
2416516	3579,1611
2416517	1081,366,1820,3579
2416518	1046,2669,3579
2416519	1008,3579
2416520	2979,3579
2416521	199,3579
2416522	1737,3579
2416523	170,1342,342,3579
2416524	3579,246
2416525	778,3579
2416526	3579,3008
2416527	28,3579
2416528	4,3579
2416529	2940,1662,3579
2416530	3843,3579
2416531	2826,3579
2416532	3706,3579
2416533	3579,1168
2416534	151,118,3579,2566
2416535	1355,1820,2132,1329,3579,789
2416536	2499,3579
2416537	18,1220
2416538	1957,139,1232,172,884,18,33,195,8,66
2416539	68,25,548,18,34
2416540	129,18,641,137
2416541	23,18
2416542	317,154,18,1386
2416543	18,36,1408
2416544	78,18,1713
2416545	327,18,256,198
2416546	465,139,31,606,3738,129,18,110
2416547	504,23,18,137,34
2416548	31,18
2416549	18,571
2416550	31,391,159,18,36,8
2416551	1687,323,2986,210,1887,487,18
2416552	710,18
2416553	2544,1787,196,18,3868,137
2416554	31,24,546,159,18,110
2416555	1595,18,355
2416556	31,18
2416557	80,18
2416558	1915,18
2416559	18,1060
2416560	31,18
2416561	31,18
2416562	18,36
2416563	18,4215
2416564	31,18
2416565	7,270,18,33,165,415
2416566	7,11,31,18
2416567	1715,145,18,1767,254
2416568	2,18
2416569	1203,449,2916,406,18,110
2416570	101,1264,186,1916,562,18
2416571	9,159,18,16,110
2416572	139,31,158,18,36,53,33,341
2416573	504,31,18,33
2416574	302,18,963,277
2416575	714,18,2178
2416576	239,2181,52,18,33,1205,2379
2416577	154,377,18,1040
2416578	359,18,76,836
2416579	335,18
2416580	46,18
2416581	465,18
2416582	305,18,93
2416583	18,36
2416584	31,18
2416585	182,18
2416586	227,212,159,18,36,341
2416587	110,18
2416588	307,280,18,28
2416589	18,137
2416590	18,142
2416591	605,18
2416592	1855,18,33
2416593	182,18,111
2416594	31,18
2416595	34,18
2416596	103,18,258,311,110
2416597	18,256
2416598	284,1803,18,1830
2416599	132,9,48,18
2416600	245,63,18
2416601	31,18,36
2416602	150,63,18,16
2416603	655,709,18,855,1622,1818,140
2416604	932,120,555,18,222
2416605	31,18
2416606	412,18
2416607	3305,196,18,1247,4,1052
2416608	172,1429,28,2,220,18,33,974,8,48,612
2416609	2269,302,730,18
2416610	18,33
2416611	884,18,33
2416612	2,18
2416613	710,18
2416614	50,7,302,18,16,72,369,48,252
2416615	2450,18
2416616	118,34,18,256
2416617	18,36
2416618	18,296
2416619	510,18
2416620	18,611
2416621	749,18
2416622	1033,11,31,18
2416623	11,18
2416624	18,36
2416625	1755,18
2416626	31,18
2416627	18,708
2416628	31,18
2416629	299,790,18,258,8
2416630	159,18
2416631	34,18
2416632	18,33
2416633	716,18
2416634	1677,510,18,619
2416635	18,222
2416636	2,4,172,18
2416637	2093,18,754,641
2416638	31,18,36,153
2416639	31,18
2416640	382,18,33
2416641	50,323,206,181,183,18,34
2416642	31,18
2416643	50,3869,112,18
2416644	556,18
2416645	1086,18,33,277
2416646	50,227,256,18,34,118
2416647	34,18
2416648	619,78,1085,18,36
2416649	1033,3078,18,410
2416650	3092,11,18,110,318
